DBA,BORO,BUILDING,STREET,ZIPCODE,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,INSPECTION TYPE
PANDA RESTAURANT,Bronx,3218,3 AVENUE,10451.0,2022-06-14,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection
NEW CHINA HOUSE,Bronx,9,WEST  183 STREET,10453.0,2022-06-06,Food Protection Certificate not held by supervisor of food operations.,Critical,Cycle Inspection / Initial Inspection
NEW CHINA HOUSE,Bronx,9,WEST  183 STREET,10453.0,2022-06-06,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection
NEW GREEN DRAGON,Bronx,4111,EAST TREMONT AVENUE,10465.0,2022-11-09,Hot TCS food item not held at or above 140 °F.,Critical,Cycle Inspection / Initial Inspection
PANDA RESTAURANT,Bronx,3218,3 AVENUE,10451.0,2022-06-14,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection
PANDA RESTAURANT,Bronx,3218,3 AVENUE,10451.0,2022-06-14,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection
NEW GREEN DRAGON,Bronx,4111,EAST TREMONT AVENUE,10465.0,2022-11-09,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,Cycle Inspection / Initial Inspection
NO. 1 KITCHEN,Bronx,839,PROSPECT AVENUE,10459.0,2022-01-19,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection
NEW GREEN DRAGON,Bronx,4111,EAST TREMONT AVENUE,10465.0,2022-11-09,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,Cycle Inspection / Initial Inspection
DYNASTY TASTE LAM,Bronx,539A,EAST TREMONT AVENUE,10457.0,2022-07-06,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2  hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,Cycle Inspection / Initial Inspection
PANDA RESTAURANT,Bronx,3218,3 AVENUE,10451.0,2022-06-14,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection
NEW CHINA HOUSE,Bronx,9,WEST  183 STREET,10453.0,2022-06-06,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Critical,Cycle Inspection / Initial Inspection
NEW GREEN DRAGON,Bronx,4111,EAST TREMONT AVENUE,10465.0,2022-11-09,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection
NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,2022-03-03,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,Cycle Inspection / Re-inspection
NEW GREEN DRAGON,Bronx,4111,EAST TREMONT AVENUE,10465.0,2022-11-09,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,Cycle Inspection / Initial Inspection
PANDA RESTAURANT,Bronx,3218,3 AVENUE,10451.0,2022-06-14,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Cycle Inspection / Initial Inspection
DYNASTY TASTE LAM,Bronx,539A,EAST TREMONT AVENUE,10457.0,2022-07-06,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Initial Inspection
PANDA RESTAURANT,Bronx,3218,3 AVENUE,10451.0,2022-06-14,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection
PANDA RESTAURANT,Bronx,3218,3 AVENUE,10451.0,2022-06-14,Hot food item not held at or above 140º F.,Critical,Cycle Inspection / Initial Inspection
NEW GREEN DRAGON,Bronx,4111,EAST TREMONT AVENUE,10465.0,2022-11-09,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Initial Inspection
NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,2022-03-03,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Re-inspection
NEW CHINA HOUSE,Bronx,9,WEST  183 STREET,10453.0,2022-06-06,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection
