DBA,BORO,BUILDING,STREET,ZIPCODE,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,INSPECTION TYPE
456 NEW SHANGHAI RESTAURANT,Manhattan,69,MOTT STREET,10013.0,[Timestamp('2024-11-20 00:00:00')],"['Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.', 'Hot TCS food item not held at or above 140 °F.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.']","['Not Critical', 'Critical']",['Cycle Inspection / Re-inspection']
ANPANMAN BAKERY CAFE,Manhattan,83,CANAL STREET,10002.0,[Timestamp('2024-03-19 00:00:00')],"['Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Hot TCS food item not held at or above 140 °F.']","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
BAYARD BO KY RESTAURANT,Manhattan,78-80,BAYARD ST,10013.0,[Timestamp('2024-11-18 00:00:00')],"['Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Hot TCS food item not held at or above 140 °F.', ""Live roaches in facility's food or non-food area."", 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', ""Evidence of mice or live mice in establishment's food or non-food areas.""]","['Not Critical', 'Critical']",['Cycle Inspection / Re-inspection']
BIG WONG RESTAURANT,Manhattan,67,MOTT STREET,10013.0,[Timestamp('2024-04-30 00:00:00')],"['Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Food contact surface, refillable, reusable containers, or equipment improperly constructed, placed or maintained. Unacceptable material used. Culinary sink or other acceptable method not provided for washing food.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', ""Live roaches in facility's food or non-food area."", 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.']","['Critical', 'Not Critical']",['Cycle Inspection / Compliance Inspection']
BUND DUMPLING HOUSE,Queens,2508,BROADWAY,11106.0,[Timestamp('2024-08-13 00:00:00')],"['Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', ""Evidence of mice or live mice in establishment's food or non-food areas.""]","['Not Critical', 'Critical']",['Cycle Inspection / Re-inspection']
BURP BOWL,Manhattan,134,EAST   27 STREET,10016.0,[Timestamp('2024-09-12 00:00:00')],"['Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.', 'No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.', 'Hot TCS food item not held at or above 140 °F.', 'Food Protection Certificate (FPC) not held by manager or supervisor of food operations.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.']","['Not Critical', 'Critical']",['Cycle Inspection / Initial Inspection']
CARNATION RESTAURANT,Brooklyn,2310,86 STREET,11214.0,[Timestamp('2024-08-28 00:00:00')],"['Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.']","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
CHAIRMAN SUN,Queens,4730,VERNON BLVD,11101.0,[Timestamp('2024-05-23 00:00:00')],"[""Evidence of mice or live mice in establishment's food or non-food areas."", 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', 'No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', ""Live roaches in facility's food or non-food area."", 'Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
CHANG PAI,Queens,166-12,HILLSIDE AVENUE,11432.0,[Timestamp('2024-10-28 00:00:00')],"['Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.', ""Evidence of rats or live rats in establishment's food or non-food areas."", 'Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', ""Evidence of mice or live mice in establishment's food or non-food areas.""]","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
CHEF 28,Manhattan,29,EAST   28 STREET,10016.0,[Timestamp('2024-08-01 00:00:00')],"['Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', ""Live roaches in facility's food or non-food area."", 'Hot TCS food item not held at or above 140 °F.', 'Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.', 'Sewage disposal system is not provided, improper, inadequate or unapproved.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.', 'Food preparation area, food storage area, or other area used by employees or patrons, contaminated by sewage or liquid waste.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
